incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
490772,2013-07-07,Illinois,Chicago,0,5,"Shot - Wounded/Injured||Defensive Use||Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.68899999999999,-87.6157,1.0,0::40||1::49||2::20||3::16||4::17||5::43,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Teen 12-17||4::Teen 12-17||5::Adult 18+,0::Male||1::Female||2::Male||3::Male||4::Male||5::Male,,"0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect
490767,2013-07-07,Mississippi,Meridian,0,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",32.3625,-88.7022,3.0,,,,,0::Injured||1::Injured||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim
490893,2013-07-07,California,Stockton,1,4,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",37.9218,-121.29799999999999,,0::19||1::40||2::18||3::23||4::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Female||2::Female||3::Male||4::Male,,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim
490793,2013-07-07,Florida,Pompano Beach,1,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Armed robbery with injury/death and/or evidence of DGU found",26.2489,-80.1352,,0::23||1::54||2::35||3::23,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+||7::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male||5::Male||6::Male||7::Male,4::Armed Robbery||5::Armed Robbery||6::Armed Robbery||7::Armed Robbery,0::Killed||1::Injured||2::Injured||3::Injured||4::Unharmed||5::Unharmed||6::Unharmed||7::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect||6::Subject-Suspect||7::Subject-Suspect
490909,2013-07-09,Maryland,Baltimore,0,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",39.2956,-76.6374,,4::29,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,,"0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect
490917,2013-07-09,Illinois,Rockford,2,2,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",42.2783,-89.0953,,0::17||1::33||2::38,0::Teen 12-17||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,0::Killed||1::Killed||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim
490922,2013-07-11,North Carolina,Charlotte,2,2,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",35.2837,-80.7742,,0::21||1::22||4::23,0::Adult 18+||1::Adult 18+||4::Adult 18+,0::Male||4::Male,,0::Killed||1::Killed||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect
490943,2013-07-12,California,San Francisco,1,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",37.7649,-122.42299999999999,1.0,0::24||1::22||2::23||3::23,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,0::Killed||1::Injured||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim
490954,2013-07-12,Kentucky,Greensburg,2,2,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Domestic Violence",37.1948,-85.5219,1.0,0::40||1::43||3::22,0::Adult 18+||1::Adult 18+||3::Adult 18+,0::Male||1::Female||3::Female,,0::Killed||1::Killed||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim
490932,2013-07-13,New Jersey,Trenton (Hamilton Township),1,4,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",40.1981,-74.7491,1.0,0::17||1::17||2::18||3::17||4::17,0::Teen 12-17||1::Teen 12-17||2::Adult 18+||3::Teen 12-17||4::Teen 12-17,0::Male||1::Male,,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim
490963,2013-07-13,Oklahoma,Oklahoma City,1,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",35.5263,-97.50399999999999,,0::42||1::22||2::41||3::33,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,0::Killed||1::Injured||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim
490979,2013-07-13,District of Columbia,Washington,0,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",38.8583,-76.9883,,,,,,0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed||5::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect
491162,2013-07-13,Ohio,Campbell,0,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.0738,-80.5997,,0::62||1::43||2::29||3::24||4::33,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Female||2::Male||3::Female||4::Male,4::Family,"0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect
491037,2013-07-14,Michigan,Grand Rapids (Kentwood),0,5,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement||Possession of gun by felon or prohibited person",42.873999999999995,-85.6052,1.0,5::18,5::Adult 18+,0::Male||1::Male||2::Female||5::Male,5::Gang vs Gang,"0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect
491001,2013-07-14,Kansas,Wichita,1,4,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",37.7044,-97.3289,,0::27||1::26||2::33||5::28||6::32,0::Adult 18+||1::Adult 18+||2::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male||1::Male||2::Male||3::Female||4::Female||5::Male||6::Male,5::Gang vs Gang||6::Gang vs Gang,"0::Killed||1::Injured||2::Injured||3::Injured||4::Injured||5::Unharmed, Arrested||6::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect||6::Subject-Suspect
