incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
895473,2017-06-21,Idaho,Pocatello,0,0,Institution/Group/Business||Non-Shooting Incident||Gun(s) stolen from owner,42.8418,-112.413,1.0,0::33||1::16,0::Adult 18+||1::Teen 12-17,,,"0::Unharmed, Arrested||1::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect
872894,2017-06-21,Iowa,Cedar Rapids,0,2,"Shot - Wounded/Injured||Home Invasion||Home Invasion - Resident injured||Home Invasion - subject/suspect/perpetrator injured||Defensive Use||Defensive Use - Victim stops crime||Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator||Defensive Use - Stand Your Ground/Castle Doctrine established",42.0026,-91.6297,1.0,0::26||1::43,0::Adult 18+||1::Adult 18+,0::Male||1::Male,1::Home Invasion - Perp Knows Victim,"0::Injured||1::Injured, Arrested",0::Victim||1::Subject-Suspect
874052,2017-06-21,Texas,Laredo,0,0,Non-Shooting Incident||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes),27.555999999999997,-99.4911,1.0,0::25,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
872669,2017-06-21,Louisiana,Marrero,1,1,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",29.8813,-90.1155,1.0,0::30||1::18,0::Adult 18+||1::Adult 18+,1::Male,,0::Injured||1::Killed,0::Victim||1::Victim
876169,2017-06-21,Kentucky,Louisville,0,0,Institution/Group/Business||Non-Shooting Incident||Gun shop robbery or burglary,38.1364,-85.844,50.0,,,,,,
873340,2017-06-21,Ohio,Salem,0,0,Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,40.881,-80.8436,1.0,0::34,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
873346,2017-06-21,Oklahoma,Oklahoma City,0,0,"Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Stolen/Illegally owned gun{s} recovered during arrest/warrant||Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",35.4442,-97.5108,13.0,,,,,"0::Unharmed, Arrested||1::Unharmed, Arrested||2::Unharmed, Arrested||3::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect
872317,2017-06-21,New York,Newburgh,1,0,"Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",41.5056,-74.0114,1.0,0::63||1::21||2::16||3::25,0::Adult 18+||1::Adult 18+||2::Teen 12-17||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,"0::Killed||1::Unharmed, Arrested||2::Unharmed, Arrested||3::Unharmed, Arrested",0::Victim||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect
874078,2017-06-21,South Carolina,Spartanburg,0,1,Shot - Wounded/Injured,35.0338,-81.8821,1.0,1::26,0::Adult 18+||1::Adult 18+,1::Male,,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
873354,2017-06-21,North Carolina,Raleigh,0,1,Shot - Wounded/Injured,35.8437,-78.5912,1.0,0::22,0::Adult 18+,0::Male,,0::Injured,0::Victim
873356,2017-06-21,Indiana,Mishawaka,0,2,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Drug involvement",41.6896,-86.1859,1.0,2::21||3::22,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Female||1::Male||2::Male||3::Male,,"0::Injured||1::Injured||2::Unharmed, Arrested||3::Unharmed, Arrested",0::Victim||1::Victim||2::Subject-Suspect||3::Subject-Suspect
873361,2017-06-21,Michigan,Detroit,0,1,Shot - Wounded/Injured||Accidental Shooting||Accidental Shooting - Injury||Accidental/Negligent Discharge||Self-Inflicted (not suicide or suicide attempt - NO PERP)||Playing with gun,42.3986,-83.1746,1.0,0::13,0::Teen 12-17,0::Female,,0::Injured,0::Victim
872329,2017-06-21,Florida,Greenacres,0,0,Shots Fired - No Injuries,26.6311,-80.1275,1.0,,,,,,
873371,2017-06-21,Alabama,Montevallo,1,1,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",33.1059,-86.89299999999999,1.0,0::25,0::Adult 18+,0::Male,,0::Killed||1::Injured,0::Victim||1::Victim
873374,2017-06-21,Alabama,Birmingham (Midfield),0,1,Shot - Wounded/Injured||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator shot,33.5237,-86.8488,1.0,0::17,0::Teen 12-17,0::Male,,0::Injured,0::Subject-Suspect
872347,2017-06-21,California,Morongo Valley,0,0,Non-Shooting Incident||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant,34.0662,-116.56299999999999,1.0,0::33||1::51,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Unharmed, Arrested||1::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect
872147,2017-06-21,Illinois,Mokena,0,0,Non-Shooting Incident||Road rage||Possession (gun(s) found during commission of other crimes)||Brandishing/flourishing/open carry/lost/found,41.5524,-87.8903,1.0,,,0::Male,,0::Unharmed,0::Subject-Suspect
